MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72397557,O,Motor Vehicle,DAC,,20190823,1056.0,N,Y,5.194,0,0,2,2.0,N,Y,Y,37.64289,-84.77439,8.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1056,1108,N,2019.0,O,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0
72397567,O,Motor Vehicle,DAC,REAR END,20190824,1030.0,N,Y,0.027,0,0,2,2.0,N,N,Y,37.6174,-84.77502,5.0,3.0,6.0,1.0,1.0,2.0,2.0,N,1035,1040,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72397590,O,Motor Vehicle,Non DAC,,20190823,1805.0,N,N,0.05,0,0,2,2.0,N,N,Y,37.65158,-84.76505,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1805,1811,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72397596,B,Motor Vehicle,Non DAC,,20190823,1531.0,N,Y,2.18,1,0,2,2.0,N,N,Y,37.67579,-84.76448,5.0,2.0,6.0,1.0,1.0,3.0,2.0,Y,1531,1534,N,2019.0,B,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72397625,O,Motor Vehicle,Non DAC,,20190822,816.0,N,Y,15.531,0,0,2,2.0,N,N,Y,37.6644,-84.74297,5.0,2.0,3.0,1.0,1.0,3.0,2.0,N,822,825,N,2019.0,O,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
72397745,O,Motor Vehicle,DAC,HEAD ON,20190823,1643.0,N,Y,3.517,0,0,2,2.0,N,N,Y,37.61848,-84.77459,3.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1643,1651,N,2019.0,O,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
72397911,O,Motor Vehicle,DAC,,20190825,1135.0,N,Y,0.001,0,0,2,2.0,N,N,Y,37.62327,-84.77464,5.0,5.0,6.0,1.0,1.0,2.0,2.0,N,1135,1135,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72397925,O,Motor Vehicle,DAC,,20190825,1000.0,N,Y,5.33,0,0,2,2.0,N,N,Y,37.64483,-84.77415,8.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1000,1005,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72398389,O,Motor Vehicle,DAC,,20190826,1108.0,N,Y,0.128,0,0,2,2.0,N,N,Y,37.6488,-84.76942,8.0,2.0,6.0,1.0,5.0,6.0,2.0,N,1108,1108,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72398399,O,Pedestrian,DAC,,20190826,1132.0,N,Y,5.406,0,0,2,1.0,N,N,Y,37.64582,-84.77249,9.0,2.0,6.0,1.0,5.0,6.0,2.0,N,1133,1135,N,2019.0,O,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0
